product_name,category,review_count,avg_rating,avg_price,cnt_n,rat_n,pop_score
KJR_32 KJR_32 Analog Watch  - For Men,Analog,142,4.528169014084507,209.0,0.015092712376024149,0.8612261806130903,0.3535
Faber FFSD 6PR 12S Neo Black Free Standing 12 Place Settings Dishwasher,Faber FFSD,10,4.6,25990.0,0.00086244070720138,0.8823529411764703,0.3535
Google Chromecast with TV (4K) Media Streaming Device??(Snow),Google Chromecast,10,4.6,6387.0,0.00086244070720138,0.8823529411764703,0.3535
"Alex Daisy Universal Plastic Desk Chair(Finish Color - Pink & White, DIY(Do-It-Y",Alex Daisy,10,4.6,9950.0,0.00086244070720138,0.8823529411764703,0.3535
"Men Formal, Casual Blue Artificial Leather Wallet - Regular Size??(8 Card Slots)",Men Casual,535,4.310280373831776,280.0,0.05746011211729194,0.7971412864211105,0.3533
LG DFB424FP Free Standing 14 Place Settings Intensive Kadhai Cleaning| No Pre-ri,Free,36,4.583333333333333,52990.0,0.0036653730056058647,0.8774509803921566,0.3532
SUPRIMO mixer/juicer/grinder combo 3 jar 750 watt STAR-J3 750 Juicer Mixer Grind,SUPRIMO combo,47,4.574468085106383,1329.0,0.004851228978007762,0.8748435544430537,0.3528
"SAMSUNG 28 L Convection Microwave Oven(MC28A5025VP, Black with Pattern)",SAMSUNG,38,4.578947368421052,14190.0,0.00388098318240621,0.8761609907120742,0.3528
LEADER TORFIN 26T MTB Bicycle without Gear Single Speed with FS DD Brake 26 T Mo,LEADER TORFIN,300,4.433333333333334,6499.0,0.032125916343251404,0.8333333333333333,0.3526
HERSHEY'S Cocoa Powder,Cocoa Powder,300,4.433333333333334,231.0,0.032125916343251404,0.8333333333333333,0.3526
"URBANYOG Hair Removal Cream Spray for Womens Hand, Leg & Under Arm, Painless Hai",URBANYOG Hair,100,4.54,499.0,0.010564898663216905,0.8647058823529412,0.3522
"HERO Skyper 26T 26 T Mountain/Hardtail Cycle(Single Speed, Black)",HERO Skyper,120,4.525,5999.0,0.012721000431220354,0.8602941176470589,0.3518
"CLOTHOLOGY 144 TC Cotton Double Printed Flat Bedsheet(Pack of 1, Green)",CLOTHOLOGY,1135,3.9647577092511015,329.0,0.12214316515739544,0.6955169733091475,0.3515
Eurodomo Hood Indigo PRO HC SC FL BK 60 Auto Clean Wall Mounted Chimney??(Black ,Eurodomo Hood,418,4.351674641148326,7599.0,0.04484691677447176,0.8093160709259781,0.3506
"SUJATA by SUJATA Powermatic 900 W Juicer (1 Jar, White)",SUJATA SUJATA,200,4.47,5190.0,0.021345407503234153,0.8441176470588234,0.3505
Siemens SN26L201IN/SN256W01GI Free Standing 12 Place Settings Dishwasher,Siemens Free,14,4.571428571428571,45550.0,0.00129366106080207,0.8739495798319326,0.3504
"QUANTUM QHM9850 Mechanical Keyboard Wired USB Gaming Keyboard(Grey, Black)",QUANTUM Mechanical,23,4.565217391304348,1499.0,0.0022639068564036225,0.8721227621483374,0.3502
D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for ,ENGINEERING,104,4.519230769230769,478.0480769230769,0.010996119016817595,0.8585972850678731,0.35
"Pack of 2 Solid Men Black, Blue Casual Shorts",Pack,360,4.377777777777778,319.0,0.038594221647261756,0.8169934640522876,0.35
Pediasure Complete Balanced Nutrition to Help Kids Grow Nutrition Drink(2x0.5 kg,Pediasure Complete,100,4.52,1278.0,0.010564898663216905,0.8588235294117645,0.3499
"ArrowMax Professional Anti-slip Fitness (Black , pack of 2 ) Easy comfort Wrist ",ArrowMax Professional,100,4.52,245.0,0.010564898663216905,0.8588235294117645,0.3499
"SUSI by SUSI Jewelery Organizers(Green, Plastic)",SUSI SUSI,100,4.52,173.0,0.010564898663216905,0.8588235294117645,0.3499
PF With Pickfully Cotton Solid Chair Pad Pack of 2(Blue),With Pickfully,16,4.5625,160.0,0.001509271237602415,0.8713235294117647,0.3494
"MOTOROLA AmphisoundX Atom with HDMI Arc 120 W Bluetooth Soundbar(Black, 2.1 Chan",MOTOROLA AmphisoundX,200,4.46,5499.0,0.021345407503234153,0.8411764705882352,0.3493
"Mi 10W Fast Charger combo for Mi,Redmi,Xiomi devices (MicroUSB - Cable Included)",Fast,50,4.54,499.0,0.00517464424320828,0.8647058823529412,0.349
"Apple 20W ,USB-C Power Charging Adapter for iPhone, iPad & AirPods??(White)",Apple,290,4.406896551724138,1899.0,0.031047865459249677,0.8255578093306288,0.3489
Lighthouse 3 Lights Round Cluster Chandelier Black Diamond Hanging Pendant Light,Lighthouse Lights,100,4.51,719.0,0.010564898663216905,0.8558823529411763,0.3487
AGAMI Green 2 Layer Lucky Bamboo plant with Big Round Glass Pot and Colored Jell,AGAMI Green,200,4.455,279.0,0.021345407503234153,0.8397058823529411,0.3487
Copper String LED light 10 MTR 100 LED USB Operated Decorative Lights 100 LEDs 1,Copper String,200,4.455,190.0,0.021345407503234153,0.8397058823529411,0.3487
SMBT Anti Theft System Security Pad Lock with Burglar Smart Alarm Siren Motion S,SMBT Anti,18,4.555555555555555,388.0,0.0017248814144027599,0.8692810457516338,0.3487
